Madagascar,13853433948,14114631281
Maldives,5299773145,5642179170
Middle East & North Africa,3.56614E+12,3.64961E+12
Mexico,1.22235E+12,1.26887E+12
Marshall Islands,221278000,
Middle income,3.1284E+13,3.20879E+13
North Macedonia,12683073866,12547040499
Mali,17070758732,17279566719
Malta,14750790658,14989415684
Myanmar,76168043982,76085852617
Middle East & North Africa (excluding high income),1.52042E+12,
Montenegro,5504255214,5542577965
Mongolia,13108769496,13996719329
Northern Mariana Islands,1323000000,
Mozambique,14845870051,15291448212
Mauritania,7049169771,7600656944
Mauritius,14181951059,14048430519
Malawi,6917301909,7666704427
Malaysia,3.58715E+11,3.64681E+11
North America,2.23036E+13,2.31771E+13
Namibia,13454211344,12366528259
New Caledonia,,
Niger,12846952857,12911689659
Nigeria,3.9719E+11,4.4812E+11
Nicaragua,13063904770,12520915291
Netherlands,9.14043E+11,9.07051E+11
Norway,4.34167E+11,4.03336E+11
Nepal,29173513476,30641380604
Nauru,124021393.7,118223430.1
New Zealand,2.07921E+11,2.06929E+11
OECD members,5.32016E+13,5.36994E+13
Oman,79788768969,76331518669
Other small states,4.42418E+11,4.32093E+11
Pakistan,3.14568E+11,2.78222E+11
Panama,65128200000,66800800000
Peru,2.22045E+11,2.26848E+11
Philippines,3.46842E+11,3.76796E+11
Palau,280435700,268354919.4
Papua New Guinea,24109509856,24829107011
Poland,5.87412E+11,5.95858E+11
Pre-demographic dividend,1.33875E+12,1.40379E+12
Puerto Rico,1.0098E+11,1.04989E+11
"Korea, Dem. People’s Rep.",,
Portugal,2.42313E+11,2.38785E+11
Paraguay,40384691791,38145288940
West Bank and Gaza,16276600000,
Pacific island small states,10667782838,10634784073
Post-demographic dividend,5.02821E+13,5.07699E+13
French Polynesia,,
Qatar,1.83335E+11,1.75838E+11
Romania,2.41457E+11,2.50077E+11
Russian Federation,1.66958E+12,1.69988E+12
Rwanda,9635951160,10354417725
South Asia,3.44547E+12,3.59184E+12
Saudi Arabia,7.86522E+11,7.92967E+11
Sudan,33128480499,30513456085
Senegal,23236007428,23578084052
Singapore,3.73217E+11,3.72063E+11
Solomon Islands,1593964162,1589913622
Sierra Leone,4085114794,4121733705
El Salvador,26117400000,27022640000
San Marino,1655300873,
Somalia,,
Serbia,50640650221,51475016532
Sub-Saharan Africa (excluding high income),1.70538E+12,1.75118E+12
South Sudan,,
Sub-Saharan Africa,1.72116E+12,1.76694E+12
Small states,5.28053E+11,5.20457E+11
Sao Tome and Principe,412261829.6,418637389
Suriname,3464656616,3697371950
Slovak Republic,1.05702E+11,1.0508E+11
Slovenia,54161636035,54174227309
Sweden,5.55455E+11,5.30884E+11
Eswatini,4665424249,4471598727
Sint Maarten (Dutch part),1185474860,
Seychelles,1586009000,1703387387
Syrian Arab Republic,,
Turks and Caicos Islands,1113178000,1197415000
Chad,11239167048,11314951343
East Asia & Pacific (IDA & IBRD countries),1.65625E+13,1.71189E+13
Europe & Central Asia (IDA & IBRD countries),4.08239E+12,4.15516E+12
Togo,5364369026,5490272413
Thailand,5.06514E+11,5.43549E+11
Tajikistan,7522947810,8116626794
Turkmenistan,40761142857,
Latin America & the Caribbean (IDA & IBRD countries),5.58121E+12,5.48796E+12
Timor-Leste,1559894900,2017924900
Middle East & North Africa (IDA & IBRD countries),1.50387E+12,
Tonga,489235527.4,512350059.4
South Asia (IDA & IBRD),3.44547E+12,3.59184E+12
Sub-Saharan Africa (IDA & IBRD countries),1.72116E+12,1.76694E+12
Trinidad and Tobago,23808146748,24269714810
Tunisia,39770297329,38796687568
Turkey,7.78382E+11,7.61425E+11
Tuvalu,42588164.97,47271463.33
Tanzania,58001200572,63177068175
Uganda,32916147253,35165157017
Ukraine,1.30902E+11,1.53781E+11
Upper middle income,2.52733E+13,2.57418E+13
Uruguay,59596885024,56045912953
USA,2.05802E+13,2.14332E+13
Uzbekistan,50392607758,57921286440
St. Vincent and the Grenadines,811300000,824718518.5
"Venezuela, RB",,
British Virgin Islands,,
Virgin Islands (U.S.),,
Vietnam,2.45214E+11,2.61921E+11
Vanuatu,914700508.2,934239973.8
World,8.64394E+13,8.77346E+13
Samoa,821496064.5,852250191
Kosovo,7942961738,7926133714
"Yemen, Rep.",23486270352,22581081994
South Africa,3.68289E+11,3.51432E+11
Zambia,26312140829,23309773923
Zimbabwe,24311560500,21440758800
